Usage data for account gpuuva065

Month      Account    User                    SBUs      Restituted
---------- ---------- ------------ --------------- --------------- 
2025-12-13 gpuuva065  scur1732               730.0             0.0
2025-12-14 gpuuva065  scur1732             14800.9             0.0
Totals for this user                       32552.6             0.0

2025-11-03 gpuuva065  scur1733                 0.4             0.0
2025-11-04 gpuuva065  scur1733                50.0             0.0
2025-11-05 gpuuva065  scur1733              3696.8             0.0
2025-11-06 gpuuva065  scur1733             10497.3             0.0
2025-11-10 gpuuva065  scur1733              4016.8             0.0
2025-11-11 gpuuva065  scur1733             14218.4             0.0
2025-11-13 gpuuva065  scur1733                89.9             0.0
2025-11-14 gpuuva065  scur1733                 5.5             0.0
2025-11-18 gpuuva065  scur1733                 3.6             0.0
2025-12-05 gpuuva065  scur1733               449.0             0.0
Totals for this user                       33027.8             0.0

2025-11-17 gpuuva065  scur1735                33.1             0.0
2025-11-18 gpuuva065  scur1735                14.7             0.0
2025-11-19 gpuuva065  scur1735                64.0             0.0
2025-12-02 gpuuva065  scur1735                14.6             0.0
2025-12-04 gpuuva065  scur1735               659.9             0.0
2025-12-05 gpuuva065  scur1735                41.4             0.0
2025-12-06 gpuuva065  scur1735              1929.3             0.0
2025-12-08 gpuuva065  scur1735                10.0             0.0
2025-12-10 gpuuva065  scur1735               126.0             0.0
2025-12-21 gpuuva065  scur1735                17.2             0.0
Totals for this user                        2910.4             0.0

2025-10-28 gpuuva065  scur1736                 0.3             0.0
2025-10-29 gpuuva065  scur1736                10.4             0.0
2025-10-30 gpuuva065  scur1736               287.4             0.0
2025-11-10 gpuuva065  scur1736                 2.6             0.0
2025-11-17 gpuuva065  scur1736               898.3             0.0
2025-11-19 gpuuva065  scur1736              1391.9             0.0
2025-11-20 gpuuva065  scur1736              1092.5             0.0
2025-11-21 gpuuva065  scur1736               647.6             0.0
2025-11-22 gpuuva065  scur1736              1658.2             0.0
2025-11-23 gpuuva065  scur1736              2652.2             0.0
2025-11-24 gpuuva065  scur1736               384.4             0.0
2025-11-30 gpuuva065  scur1736               141.7             0.0
2025-12-01 gpuuva065  scur1736              5570.8             0.0
2025-12-02 gpuuva065  scur1736              4570.7             0.0
2025-12-04 gpuuva065  scur1736               127.1             0.0
2025-12-05 gpuuva065  scur1736               174.4             0.0
2025-12-09 gpuuva065  scur1736                55.9             0.0
2025-12-12 gpuuva065  scur1736               139.8             0.0
